Frame,Sub Frame,EMG_A01,EMG_A02,EMG_A03,EMG_A04,EMG_A05,EMG_A06,EMG_A07,EMG_A08,EMG_A01_Accz,EMG_A02_Accz,EMG_A03_Accz,EMG_A04_Accz,EMG_A05_Accz,EMG_A06_Accz,EMG_A07_Accz,EMG_A08_Accz,FswA,FswB,EMG_B01,EMG_B02,EMG_B03,EMG_B04,EMG_B05,EMG_B06,EMG_B07,EMG_B08,EMG_B09,EMG_B10,EMG_B11,EMG_B12,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1
653,0,-0.0128174,0.0205994,-0.0125122,-0.0151062,-0.0302124,0.0537109,0.0236511,0.063324,-0.0209045,0.0263977,-0.052948,-0.0209045,0.0112915,0.000305176,-0.0741577,-0.0457764,2.65991,2.63687,0.010376,0.00579834,0.0244141,0.0340271,0.00976562,0.0196838,0.0141907,-0.0564575,-0.0144958,0.027771,3.23776,3.26736,-0.0498453,0.027163,0.293205,-150.908,53.4476,32.5105,207.643,-1058.39,0.0770316,-0.0533295,-0.0962448,0.0110245,-0.0384521,0.0457001,0.0174713,-0.0844955,0.0025177,0.213737,0.191727,0.196533,0.228195,-0.160637,0.193367,-0.175705,0.19886,-0.0662231,0.0418091,0.194206,0.0272751,-0.0894547,-0.21389,0.0743484,0.118484,0.233002,-0.271454,-0.306396,-0.164948,-0.260468,-0.0512695,0.257492,-0.182724,-0.00671387
653,1,0.0320435,0.00946045,0.0158691,0.000305176,-0.0213623,0.109253,0.00808716,0.0765991,-0.042572,0.0143433,-0.096283,-0.0308228,0.0202942,-0.00427246,-0.0726318,-0.0325012,2.63214,2.6535,-0.00564575,-0.00839233,0.0126648,0.0218201,-0.0239563,0.0262451,0.0219727,0.00518799,0.0201416,-0.0151062,3.26904,3.2692,0.487827,-0.061591,0.292735,120.284,17.9523,69.9656,207.643,-1058.39,0.0770316,-0.0470352,-0.0704956,0.0186157,-0.0374222,0.0356293,0.0159454,-0.0993729,0.0117111,0.207825,0.174103,0.215416,0.204582,-0.168266,0.218277,-0.182076,0.225372,-0.0733566,0.0279236,0.16346,0.00347137,-0.098114,-0.226364,0.0721741,0.131493,0.20546,-0.274658,-0.304489,-0.16201,-0.226021,-0.0434494,0.283432,-0.17765,0.0143433
653,2,0.0109863,-0.00961304,-0.00854492,-0.0445557,-0.0506592,0.0727844,0.0175476,0.0827026,-0.0157166,-0.00350952,-0.0720215,-0.0273132,0.00900269,0.0154114,-0.0640869,-0.0570679,2.65686,2.66968,-0.00534058,0.01297,-0.0216675,0.0210571,-0.0408936,0.0364685,-0.00335693,-0.0413513,-0.0138855,-0.0108337,3.26981,3.27011,0.129458,-0.41708,0.293778,-105.696,53.4893,51.3119,207.643,-1058.39,0.0770316,-0.0435257,-0.0931931,-0.0109482,-0.0333023,0.0130463,0.0235748,-0.0885773,0.0231934,0.206528,0.201187,0.209236,0.220146,-0.163231,0.19722,-0.186844,0.219345,-0.052948,0.0256729,0.151825,0.0323486,-0.0892258,-0.217628,0.0676346,0.110207,0.211563,-0.221176,-0.301743,-0.156097,-0.236626,-0.0444031,0.278549,-0.183144,0.0192261
653,3,0.0106812,-0.00106812,0.00717163,-0.0567627,-0.0497437,0.0595093,0.0306702,0.0352478,-0.0167847,0.0288391,-0.0769043,-0.0396729,-0.017395,-0.0337219,-0.0663757,-0.0462341,2.65518,2.65411,-0.00717163,-0.00549316,-0.0302124,-0.00106812,-0.0390625,-0.00106812,-0.0138855,-0.0642395,0.0189209,0.00808716,3.25119,3.26828,-0.0494463,0.116648,0.650602,165.473,-88.9103,51.247,207.643,-1058.39,0.0770316,-0.0361633,-0.102348,-0.00728607,-0.00514984,0.0503159,0.00793457,-0.107384,0.0163651,0.204964,0.172272,0.211067,0.186615,-0.18013,0.193901,-0.180702,0.219688,-0.0517654,0.00141144,0.147629,0.0112534,-0.0470734,-0.218201,0.0785446,0.137711,0.209389,-0.259361,-0.314331,-0.154648,-0.232925,-0.0234985,0.273132,-0.197258,-0.0253296
653,4,-0.00366211,0.00991821,0.0169373,-0.0012207,-0.0164795,-0.0195312,0.00732422,0.00656128,-0.0227356,-0.00411987,-0.052948,-0.0267029,0.00991821,-0.00534058,-0.0621033,-0.0552368,2.66937,2.65305,0.0177002,0.00320435,-0.0180054,0.0120544,-0.0210571,-0.0216675,-0.00259399,-0.0408936,-0.0370789,-0.00808716,3.1572,3.15445,-0.0502106,-0.240032,-0.0638791,-105.741,-53.4482,-5.06208,207.643,-1058.39,0.0770316,-0.0255585,-0.103722,0.0101089,-0.0281906,0.0242615,0.0146866,-0.0761032,0.00038147,0.212631,0.197258,0.194168,0.221863,-0.153503,0.19783,-0.18425,0.183182,-0.0780869,0.0422668,0.186844,0.00556946,-0.050087,-0.189209,0.0395966,0.149269,0.251465,-0.274429,-0.275421,-0.144157,-0.19516,-0.0198746,0.298309,-0.115891,0.0195312
653,5,0.0131226,-0.00595093,0.0161743,0.0344849,0.00671387,-0.103912,0.0123596,-0.0289917,0.0100708,-0.00183105,-0.0814819,-0.0566101,0.0241089,0.00991821,-0.0759888,-0.0526428,2.67593,2.6532,0.018158,0.00564575,-0.0169373,0.0144958,0.000762939,-0.00167847,-0.00610352,-0.0297546,0.010376,0.0198364,3.0426,3.05069,-0.0519082,-0.0648377,-1.4944,-15.3827,-53.4644,-24.0212,171.899,-1048.12,0.100536,-0.0415421,-0.0979614,-0.0127792,-0.0362778,0.00644684,0.0390244,-0.0738907,0.00499725,0.19722,0.177689,0.208054,0.226212,-0.164108,0.174599,-0.171776,0.205917,-0.0663757,0.0380707,0.218582,0.0387192,-0.054512,-0.206337,0.0374985,0.130501,0.243721,-0.229187,-0.273857,-0.150185,-0.178986,-0.0483704,0.274582,-0.112915,0.0149536
653,6,0.00396729,0.0106812,0.0119019,0.0146484,-0.0144958,-0.129089,-0.00823975,-0.0733948,-0.038147,0.0169373,-0.091095,-0.0578308,0.00808716,-0.017395,-0.0723267,-0.0192261,2.6561,2.66449,-0.00686646,-0.0146484,-0.020752,0.0120544,-0.0134277,0.0228882,0.00442505,-0.0384521,0.0108337,-0.00167847,2.96478,2.95059,-0.317756,-0.415906,1.00941,-331.678,-17.8449,13.9922,207.643,-1058.39,0.0770316,-0.0387573,-0.0986099,-0.0120544,-0.0268555,0.0159836,0.0208282,-0.0873947,-0.00167847,0.196838,0.164299,0.206909,0.207825,-0.179825,0.205574,-0.180054,0.231171,-0.0421143,0.0496292,0.183563,0.0374985,-0.0624847,-0.185966,0.049324,0.145569,0.249825,-0.227165,-0.271416,-0.144997,-0.175285,-0.0474167,0.253143,-0.131073,0.00366211
653,7,0.00686646,0.0134277,0.0384521,-0.00762939,-0.0119019,-0.0772095,0.00595093,-0.0593567,-0.0253296,-0.0119019,-0.0579834,-0.0370789,0.010376,0.0234985,-0.0596619,-0.0502014,2.65732,2.63687,0.00335693,0.0263977,0.0138855,0.00335693,0.00396729,0.0175476,0.00549316,-0.0642395,0.00442505,-0.00274658,2.81555,2.84149,0.217751,-0.0635289,-0.779611,120.183,89.0449,-5.57562,207.643,-1058.39,0.0770316,-0.0192642,-0.0899887,-0.0173569,-0.0300598,0.0237274,0.0164795,-0.096817,0.000457764,0.202217,0.168839,0.215797,0.227966,-0.130043,0.19989,-0.18425,0.208626,-0.0379944,0.0395203,0.22747,0.0249863,-0.0542068,-0.212936,0.0455856,0.138245,0.238228,-0.241928,-0.300255,-0.153122,-0.155716,-0.0533676,0.291786,-0.128975,-0.00427246
653,8,0.00717163,0.000457764,0.0285339,0.0177002,0.0205994,-0.014801,0.00671387,-0.0489807,-0.0193787,-0.00595093,-0.0752258,-0.0494385,0.0157166,0.00274658,-0.0712585,-0.0430298,2.67105,2.64297,0.00305176,0.00976562,0.0546265,0.0178528,-0.00488281,0.0357056,-0.00595093,-0.0964355,0.00930786,-0.00839233,2.7388,2.76733,-0.0510594,-0.152435,-0.779142,165.336,53.3744,-43.2735,207.643,-1058.39,0.0770316,-0.0530243,-0.0626755,0.00423431,0.00537872,0.00221252,0.0343704,-0.0871658,0.00148773,0.213203,0.158539,0.221214,0.199661,-0.179253,0.18158,-0.172195,0.201836,-0.0545883,0.0458908,0.20649,0.04776,-0.0325012,-0.183792,0.0458527,0.136185,0.226479,-0.25631,-0.282669,-0.153618,-0.175934,-0.0284576,0.288162,-0.0986862,0.0216675
653,9,0.000610352,0.00946045,0.0341797,-0.00671387,0.0247192,-0.0315857,0.00747681,-0.0263977,-0.0205994,0.00549316,-0.0753784,-0.0436401,0.0157166,0.00152588,-0.0563049,-0.0541687,2.65472,2.64542,0.010376,0.0436401,0.0102234,0.00228882,0.0285339,0.00946045,0.00976562,-0.0997925,-0.022583,-0.00778198,-2.56531,-2.75558,0.666179,0.114895,-0.422892,29.8244,89.0611,13.3835,207.643,-1058.39,0.0770316,-0.0267792,-0.0844955,0.00179291,0.00354767,0.00888824,0.0701523,-0.0734329,0.00862122,0.226822,0.174866,0.200615,0.215416,-0.162354,0.188484,-0.168304,0.213547,-0.0554276,0.0556183,0.17067,0.0327682,-0.0712204,-0.197525,0.00900269,0.136108,0.227966,-0.244141,-0.28141,-0.172462,-0.20668,-0.0474167,0.275345,-0.109329,-0.000610352
