Frame,EMG_A01,EMG_A02,EMG_A03,EMG_A04,EMG_A05,EMG_A06,EMG_A07,EMG_A08,EMG_A01_Accz,EMG_A02_Accz,EMG_A03_Accz,EMG_A04_Accz,EMG_A05_Accz,EMG_A06_Accz,EMG_A07_Accz,EMG_A08_Accz,FswA,FswB,EMG_B01,EMG_B02,EMG_B03,EMG_B04,EMG_B05,EMG_B06,EMG_B07,EMG_B08,EMG_B09,EMG_B10,EMG_B11,EMG_B12,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1
336,0.00579834,0.0245667,0.0161743,-0.0350952,0.00808716,0.0170898,0.000305176,0.0143433,0.0192261,0.0431824,0.11795,-0.206909,0.0384521,0.110474,-0.0798035,-0.146484,2.63824,2.64328,0.0231934,-0.00442505,-0.0222778,0.00152588,0.0949097,0.030365,0.0305176,-0.0830078,-0.00839233,-0.0268555,-0.0236511,0.00839233,3.58856,-2.39276,3.21803,633.367,-925.014,453.388,207.643,-1058.39,0.0770316,-0.0204086,0.0708008,0.0713348,0.294533,0.0607681,0.36705,-0.0302505,-0.184174,-0.189323,-0.202789,-0.623283,0.0741196,-0.09758,0.198784,-0.00648499,0.335464,0.00236511,0.0762177,0.137749,0.0432968,0.132637,0.21019,-0.147934,-0.211029,0.0629807,-0.213165,-0.167122,0.167007,0.0485229,0.0978851,-0.0852203,-0.0615692,0.0183105
336,-0.00518799,0.0238037,0.0250244,-0.0724792,0.0738525,0.00198364,0.0151062,0.0230408,0.0256348,0.0778198,0.113525,-0.218506,0.0137329,0.104675,-0.0657654,-0.122986,2.65167,2.67792,0.012207,0.00488281,0.00274658,0.0160217,0.0737,0.00823975,-0.0421143,-0.0669861,0.063324,0.0891113,-0.0239563,0.0418091,0,0,0,0,0,0,207.643,-1058.39,0.0770316,-0.0341034,0.0749207,0.0646591,0.289841,0.0717163,0.388527,-0.0514221,-0.214767,-0.184784,-0.19783,-0.622635,0.0502014,-0.0755692,0.217094,0.0322342,0.339851,0.0132751,-0.000152588,0.162468,0.0981522,0.101891,0.222206,-0.102882,-0.191727,0.0225067,-0.212975,-0.182877,0.206032,0.079422,0.0680923,-0.10704,-0.0144196,0.00335693
336,0.0189209,0.0302124,0.0300598,-0.0738525,0.100555,0.0234985,0.0331116,-0.00793457,0.0109863,0.14389,0.202484,-0.239563,-0.0239563,0.113068,-0.0569153,-0.124817,2.66663,2.65427,0.00427246,0.0463867,-0.0100708,-0.00137329,0.100403,0.0448608,0.01297,-0.107574,0.08255,0.238953,0.0187683,0.0238037,0,0,0,0,0,0,207.643,-1058.39,0.0770316,-0.00953674,0.0703049,-0.356522,0.299301,0.100327,0.422287,-0.049057,-0.0469971,-0.234261,-0.351677,-0.566597,0.00782013,-0.0438309,0.225945,0.00282288,0.341721,0.0228882,0.0012207,0.140762,0.0638962,0.13237,0.234261,-0.134048,-0.237617,0.0407791,-0.198936,-0.177116,0.172577,0.0113297,0.10006,-0.0696564,-0.0266647,0.000915527
336,-0.000915527,0.0119019,0.0282288,-0.0924683,0.00762939,0.0245667,0.0215149,-0.00656128,0.043335,0.118408,0.193939,-0.221863,-0.0494385,0.098877,-0.0531006,-0.113678,2.65778,2.70615,0.0244141,0.0115967,-0.0242615,0.0382996,0.102234,0.00671387,0.00915527,-0.0161743,0.132904,0.310516,-0.0204468,0.0189209,0,0,0,0,0,0,207.643,-1058.39,0.0770316,-0.00774384,0.03685,-0.342636,0.259552,0.0645447,0.427094,-0.0379181,-0.0457764,-0.233841,-0.329895,-0.583649,0.00312805,-0.106735,0.214043,0.0244141,0.341988,0.0273895,0.0302124,0.127487,0.096817,0.139198,0.183563,-0.114708,-0.173149,0.0451279,-0.180321,-0.152397,0.178223,0.0648499,0.0760651,-0.0889206,-0.0281143,-0.00213623
336,0.014801,0.0224304,0.065155,-0.085907,-0.0758362,0.0131226,0.015564,0.00274658,0.014801,0.131683,0.195312,-0.252228,-0.0592041,0.113831,-0.0457764,-0.111847,2.66754,2.65884,0.0167847,0.0384521,0.00274658,-0.00289917,0.0827026,0.0370789,0.0216675,0.0523376,0.186462,0.342102,0.0154114,0.00793457,3.67804,-1.6819,3.21667,949.51,-853.995,302.063,207.643,-1058.39,0.0770316,0.0212097,0.0774002,-0.357094,0.229378,0.0759125,0.415993,-0.0402451,-0.00038147,-0.218277,-0.333862,-0.584946,-0.00553131,-0.0905228,0.243225,-0.00213623,0.308952,0.0132751,0.0511551,0.168724,-0.00514984,0.12825,0.233383,-0.0644684,-0.21965,0.0689316,-0.155411,-0.161095,0.171204,0.0432587,0.0754547,-0.0460434,-0.0131989,-0.00701904
336,-0.00793457,0.00534058,0.0837708,-0.0839233,-0.0697327,0.0151062,-0.00854492,-0.012207,0.0390625,0.116119,0.186768,-0.243988,-0.091095,0.111694,-0.0598145,-0.124969,2.67776,2.66998,0.00152588,0.0158691,-0.015564,0.020752,0.080719,0.0140381,0.01297,0.15625,0.142212,0.239258,-0.00671387,0.0250244,3.1408,-1.68137,3.57485,813.966,-996.471,302.471,207.643,-1058.39,0.0770316,0.0160599,0.0739288,-0.33577,0.260963,0.0569916,0.386353,-0.0119019,-0.0631332,-0.229836,-0.279732,-0.613976,-0.00392914,-0.0893402,0.223579,-0.0114441,0.370178,0.0575638,0.0766754,0.152397,0.00125885,0.120888,0.207329,-0.115967,-0.198059,0.0863647,-0.154114,-0.160255,0.182037,0.0271225,0.0959778,-0.0910187,-0.0357437,0.00366211
336,0.0137329,0.0210571,0.0968933,-0.117493,-0.219574,0.0105286,0.00457764,0.0213623,0.00930786,0.111084,0.18692,-0.269928,-0.0704956,0.092926,-0.0666809,-0.115051,2.66556,2.66586,-0.00518799,0.00671387,0.0163269,-0.00473022,0.0704956,0.032196,-0.00228882,0.113678,-0.0549316,0.146332,-0.0167847,0.0260925,0,0,0,0,0,0,207.643,-1058.39,0.0770316,-0.00492096,0.0926208,-0.353241,0.227928,0.0842285,0.401955,-0.0413513,-0.0388718,-0.19619,-0.342102,-0.582619,0.00724792,-0.108223,0.248566,0.00888824,0.31311,0.0199509,0.118141,0.158882,0.0351715,0.0992203,0.203934,-0.10067,-0.220757,0.0582504,-0.163536,-0.138817,0.203476,0.0436401,0.071907,-0.0928497,-0.020752,0.000915527
336,0.00747681,0.00854492,0.0837708,-0.0715637,-0.14389,-0.0125122,-0.00762939,0.0286865,0.0178528,0.132294,0.196838,-0.245819,-0.0483704,0.0932312,-0.0704956,-0.120697,2.64496,2.66403,0.0198364,-0.00167847,-0.0192261,0.00198364,0.0994873,0.0276184,-0.0741577,0.11795,-0.0730896,0.0610352,-0.0241089,-0.00488281,0,0,0,0,0,0,207.643,-1058.39,0.0770316,0.00923157,0.106468,-0.310593,0.281067,0.0813293,0.394669,-0.0178909,-0.0312424,-0.232735,-0.309563,-0.520363,0.00541687,-0.0751114,0.226402,-0.0352097,0.355453,0.0111008,0.0984573,0.135345,0.0606918,0.142288,0.193481,-0.119171,-0.22892,0.0463486,-0.181313,-0.13855,0.203171,0.0791168,0.0873184,-0.0518036,-0.0527191,-0.00610352
336,-0.00930786,0.010376,0.119781,-0.0675964,-0.06073,-0.0210571,0.027771,0.0167847,0.00549316,0.123596,0.165558,-0.242157,-0.0523376,0.0932312,-0.0706482,-0.114899,2.65625,2.64587,-0.00167847,-0.0234985,0.00717163,0.000610352,0.0698853,0.0292969,-0.0532532,0.130005,-0.0564575,-0.0334167,0.0050354,0.015564,0,0,0,0,0,0,207.643,-1058.39,0.0770316,0.0253296,0.0937271,-0.351143,0.259552,0.0764465,0.413284,-0.0383377,-0.084343,-0.224915,-0.310898,-0.575104,0.0180054,-0.0526428,0.240822,0.0282288,0.341873,0.0114441,0.103722,0.13813,0.0476074,0.125237,0.209084,-0.106773,-0.20359,0.00728607,-0.178909,-0.121346,0.154305,0.0608063,0.0881958,-0.0366974,-0.0254059,0.00183105
336,0.0152588,-0.0300598,0.106964,-0.0427246,0.0149536,0.000610352,0.00747681,0.00442505,0.0354004,0.194244,0.50293,-0.262451,-0.0915527,0.105743,-0.0787354,-0.0265503,2.64999,2.65747,0.00991821,0.00152588,-0.0163269,0.0106812,0.105591,0.0239563,-0.0592041,0.0424194,-0.0630188,-0.0120544,-0.0267029,0.00473022,0,0,0,0,0,0,207.643,-1058.39,0.0770316,-0.0471497,0.0723648,-0.411835,0.295563,0.0594711,0.462914,-0.0479889,0.0577545,-0.257416,-0.538254,-0.377388,-0.0353241,-0.110703,0.267906,0.0462341,0.314064,0.0450516,0.0671387,0.153847,-0.000305176,0.129814,0.271835,-0.146904,-0.220642,0.0270462,-0.190315,-0.160713,0.175819,0.0473785,0.0867462,-0.0249863,-0.0308609,0
